date,datetime,weight,body_fat,model
2025-08-30,2025-08-30 06:24:,54.3,5.8,01000145
2025-08-29,2025-08-29 06:27:,53.9,5.4,01000145
2025-08-28,2025-08-28 06:19:,54.0,5.9,01000145
2025-08-27,2025-08-27 06:09:,54.2,5.8,01000145
2025-08-26,2025-08-26 06:28:,54.2,5.9,01000145
2025-08-25,2025-08-25 06:12:,54.0,5.4,01000145
2025-08-24,2025-08-24 06:25:,54.5,6.0,01000145
2025-08-23,2025-08-23 06:16:,54.4,6.1,01000145
2025-08-22,2025-08-22 06:39:,54.3,5.3,01000145
2025-08-21,2025-08-21 06:33:,55.0,6.2,01000145
2025-08-20,2025-08-20 06:09:,54.5,6.0,01000145
2025-08-19,2025-08-19 06:25:,54.3,5.4,01000145
2025-08-18,2025-08-18 06:21:,54.2,6.5,01000145
2025-08-17,2025-08-17 06:05:,54.4,6.5,01000145
2025-08-16,2025-08-16 06:10:,54.2,5.8,01000145
2025-08-15,2025-08-15 06:18:,54.2,5.9,01000145
2025-08-14,2025-08-14 06:25:,54.3,6.2,01000145
2025-08-13,2025-08-13 06:18:,54.4,5.7,01000145
2025-08-12,2025-08-12 06:29:,54.5,5.8,01000145
2025-08-11,2025-08-11 06:23:,54.3,5.9,01000145
2025-08-10,2025-08-10 06:19:,53.9,5.4,01000145
2025-08-09,2025-08-09 06:15:,53.6,5.0,01000145
2025-08-08,2025-08-08 06:22:,54.4,6.1,01000145
2025-08-07,2025-08-07 06:18:,54.1,5.5,01000145
2025-08-06,2025-08-06 05:56:,54.0,6.1,01000145
2025-08-05,2025-08-05 06:24:,53.7,5.0,01000145
2025-08-04,2025-08-04 06:21:,54.0,5.5,01000145
2025-08-03,2025-08-03 05:55:,53.9,5.8,01000145
2025-08-02,2025-08-02 06:06:,54.0,5.0,01000145
2025-08-01,2025-08-01 06:12:,54.4,5.8,01000145
